epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
73,1385.71,0.15537,0.87016,0.99031,0.55579,0.000406,0.000406,0.000406
74,1404.13,0.16875,0.87791,0.98837,0.51136,0.00039775,0.00039775,0.00039775
75,1423.09,0.15721,0.87112,0.98837,0.48163,0.0003895,0.0003895,0.0003895
76,1441.46,0.15346,0.87209,0.98837,0.49867,0.00038125,0.00038125,0.00038125
77,1460.23,0.14454,0.87112,0.99031,0.48551,0.000373,0.000373,0.000373
78,1479.06,0.14584,0.87403,0.9874,0.52986,0.00036475,0.00036475,0.00036475
79,1497.84,0.15923,0.88372,0.98643,0.57114,0.0003565,0.0003565,0.0003565
80,1516.59,0.13034,0.87791,0.9845,0.50599,0.00034825,0.00034825,0.00034825
81,1535.45,0.1261,0.88081,0.98547,0.51917,0.00034,0.00034,0.00034
82,1554.08,0.12607,0.87209,0.98353,0.48873,0.00033175,0.00033175,0.00033175
83,1572.83,0.14477,0.87597,0.98256,0.53176,0.0003235,0.0003235,0.0003235
84,1591.96,0.13903,0.87888,0.98256,0.4932,0.00031525,0.00031525,0.00031525
85,1610.57,0.12231,0.87694,0.98643,0.51215,0.000307,0.000307,0.000307
86,1629.8,0.11938,0.87984,0.98837,0.47703,0.00029875,0.00029875,0.00029875
87,1648.57,0.12006,0.87694,0.98643,0.4803,0.0002905,0.0002905,0.0002905
88,1667.45,0.10693,0.87888,0.9845,0.53643,0.00028225,0.00028225,0.00028225
89,1686.27,0.10461,0.87597,0.98643,0.54833,0.000274,0.000274,0.000274
90,1705.02,0.10785,0.87888,0.98547,0.49311,0.00026575,0.00026575,0.00026575
91,1723.86,0.10633,0.87597,0.98837,0.49972,0.0002575,0.0002575,0.0002575
92,1742.62,0.10688,0.88178,0.98643,0.50297,0.00024925,0.00024925,0.00024925
93,1761.1,0.10268,0.88081,0.98643,0.51281,0.000241,0.000241,0.000241
94,1779.72,0.10413,0.88081,0.98837,0.49805,0.00023275,0.00023275,0.00023275
95,1798.66,0.08714,0.88081,0.98934,0.49586,0.0002245,0.0002245,0.0002245
96,1817.22,0.08596,0.88275,0.98643,0.53422,0.00021625,0.00021625,0.00021625
97,1836.16,0.09391,0.88081,0.98643,0.66006,0.000208,0.000208,0.000208
98,1854.74,0.0821,0.88372,0.9874,0.50322,0.00019975,0.00019975,0.00019975
99,1873.45,0.07748,0.88275,0.99031,0.50023,0.0001915,0.0001915,0.0001915
100,1892.4,0.07508,0.875,0.98547,0.49864,0.00018325,0.00018325,0.00018325
101,1911.03,0.08336,0.87888,0.98643,0.48592,0.000175,0.000175,0.000175
102,1929.95,0.07533,0.87694,0.98643,0.55569,0.00016675,0.00016675,0.00016675
103,1948.85,0.07515,0.8876,0.98837,0.48287,0.0001585,0.0001585,0.0001585
104,1967.69,0.07099,0.88663,0.98934,0.48345,0.00015025,0.00015025,0.00015025
105,1986.57,0.06527,0.88663,0.98837,0.53561,0.000142,0.000142,0.000142
106,2005.51,0.06625,0.88566,0.9874,0.52181,0.00013375,0.00013375,0.00013375
107,2024.18,0.06529,0.88566,0.98934,0.48102,0.0001255,0.0001255,0.0001255
108,2042.96,0.06556,0.88469,0.98934,0.51484,0.00011725,0.00011725,0.00011725
109,2061.74,0.06556,0.88372,0.98934,0.48395,0.000109,0.000109,0.000109
110,2080.34,0.06004,0.88566,0.98643,0.48832,0.00010075,0.00010075,0.00010075
111,2121.15,0.05562,0.88178,0.98547,0.54933,9.25e-05,9.25e-05,9.25e-05
112,2139.66,0.05832,0.88857,0.98643,0.50144,8.425e-05,8.425e-05,8.425e-05
113,2158.3,0.04694,0.8876,0.9874,0.5002,7.6e-05,7.6e-05,7.6e-05
114,2176.52,0.0517,0.88566,0.98643,0.49497,6.775e-05,6.775e-05,6.775e-05
115,2194.95,0.05795,0.88469,0.98643,0.48583,5.95e-05,5.95e-05,5.95e-05
116,2213.28,0.05934,0.88178,0.98643,0.4853,5.125e-05,5.125e-05,5.125e-05
117,2231.68,0.0477,0.88081,0.98643,0.50443,4.3e-05,4.3e-05,4.3e-05
118,2250.31,0.04531,0.88178,0.98547,0.4914,3.475e-05,3.475e-05,3.475e-05
119,2269.21,0.05158,0.88178,0.98547,0.59694,2.65e-05,2.65e-05,2.65e-05
120,2287.69,0.04626,0.88275,0.98547,0.49226,1.825e-05,1.825e-05,1.825e-05
