epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,29777.4,0.21751,0.87996,0.96858,0.59494,0.000556742,0.000556742,0.000556742
72,30201.4,0.21374,0.88077,0.96853,0.59751,0.000546421,0.000546421,0.000546421
73,30624.5,0.20854,0.88158,0.96873,0.6001,0.000536081,0.000536081,0.000536081
74,31049.2,0.2026,0.88122,0.96868,0.60371,0.000525728,0.000525728,0.000525728
75,31472.8,0.19963,0.88072,0.96878,0.60469,0.000515366,0.000515366,0.000515366
76,31899.6,0.1957,0.88132,0.96868,0.60728,0.000505,0.000505,0.000505
77,32323.3,0.19167,0.88127,0.96853,0.61044,0.000494634,0.000494634,0.000494634
78,32742.6,0.18517,0.88057,0.96903,0.61308,0.000484272,0.000484272,0.000484272
79,33153.9,0.18411,0.88037,0.96928,0.61556,0.000473919,0.000473919,0.000473919
80,33573.8,0.17913,0.87991,0.96893,0.61672,0.000463579,0.000463579,0.000463579
81,33992.4,0.17712,0.88067,0.96903,0.61891,0.000453258,0.000453258,0.000453258
82,34424.1,0.17368,0.88107,0.96913,0.62075,0.00044296,0.00044296,0.00044296
83,34866.5,0.16919,0.88137,0.96923,0.62238,0.000432689,0.000432689,0.000432689
84,35294.6,0.16116,0.88158,0.96918,0.62357,0.000422449,0.000422449,0.000422449
85,35706.3,0.15857,0.88117,0.96939,0.6259,0.000412246,0.000412246,0.000412246
86,36122,0.15811,0.88153,0.96979,0.62752,0.000402084,0.000402084,0.000402084
87,36534.4,0.15827,0.88147,0.96959,0.62954,0.000391966,0.000391966,0.000391966
88,36953.5,0.1503,0.88097,0.96944,0.63082,0.000381899,0.000381899,0.000381899
89,37362.9,0.14842,0.88102,0.96944,0.63249,0.000371885,0.000371885,0.000371885
90,37781.8,0.14133,0.88127,0.96883,0.63353,0.000361929,0.000361929,0.000361929
91,38192.7,0.14118,0.88127,0.96863,0.63477,0.000352037,0.000352037,0.000352037
92,38611.9,0.14106,0.88137,0.96853,0.63725,0.000342211,0.000342211,0.000342211
93,39023.1,0.13436,0.88117,0.96858,0.6397,0.000332457,0.000332457,0.000332457
94,39440.8,0.13104,0.88137,0.96848,0.64181,0.000322778,0.000322778,0.000322778
95,39852.5,0.13386,0.88127,0.96848,0.64314,0.00031318,0.00031318,0.00031318
96,40270.1,0.12844,0.88137,0.96833,0.64425,0.000303665,0.000303665,0.000303665
97,40681.3,0.12415,0.88082,0.96823,0.64685,0.000294239,0.000294239,0.000294239
98,41098.7,0.12752,0.88042,0.96777,0.64874,0.000284906,0.000284906,0.000284906
99,41510.4,0.12325,0.88042,0.96807,0.65002,0.000275668,0.000275668,0.000275668
100,41930,0.11752,0.88016,0.96782,0.65125,0.000266532,0.000266532,0.000266532
101,42340.9,0.11799,0.88026,0.96752,0.65328,0.0002575,0.0002575,0.0002575
102,42758.6,0.11396,0.88047,0.96782,0.65303,0.000248577,0.000248577,0.000248577
103,43169.3,0.11513,0.88117,0.96787,0.65411,0.000239766,0.000239766,0.000239766
104,43586.3,0.11081,0.88047,0.96777,0.65524,0.000231071,0.000231071,0.000231071
105,43999.4,0.10722,0.88052,0.96787,0.65626,0.000222497,0.000222497,0.000222497
106,44417.3,0.10227,0.88062,0.96792,0.65745,0.000214046,0.000214046,0.000214046
107,44827.2,0.10467,0.88087,0.96807,0.65881,0.000205723,0.000205723,0.000205723
108,45236.8,0.09872,0.88122,0.96817,0.65911,0.000197532,0.000197532,0.000197532
109,45649.6,0.1013,0.88072,0.96828,0.66004,0.000189475,0.000189475,0.000189475
110,46069.9,0.09774,0.88072,0.96853,0.66201,0.000181557,0.000181557,0.000181557
111,46479.5,0.09835,0.88026,0.96868,0.66249,0.00017378,0.00017378,0.00017378
112,46894.5,0.09737,0.88031,0.96853,0.66368,0.000166149,0.000166149,0.000166149
113,47303.1,0.09291,0.88001,0.96863,0.66353,0.000158667,0.000158667,0.000158667
114,47718.1,0.08934,0.88031,0.96848,0.66512,0.000151336,0.000151336,0.000151336
115,48126.4,0.09109,0.87986,0.96868,0.66601,0.000144161,0.000144161,0.000144161
116,48539.3,0.0867,0.88021,0.96858,0.66729,0.000137143,0.000137143,0.000137143
