epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
72,15182.2,0.23951,0.83881,0.95485,0.77617,0.00041425,0.00041425,0.00041425
73,15385,0.22803,0.83895,0.95472,0.7831,0.000406,0.000406,0.000406
74,15590,0.22261,0.83908,0.95418,0.78242,0.00039775,0.00039775,0.00039775
75,15792.4,0.22033,0.83908,0.95425,0.78625,0.0003895,0.0003895,0.0003895
76,15996.4,0.21225,0.83881,0.95385,0.78753,0.00038125,0.00038125,0.00038125
77,16201.8,0.21085,0.83915,0.95358,0.79102,0.000373,0.000373,0.000373
78,16406,0.20863,0.83895,0.95325,0.79297,0.00036475,0.00036475,0.00036475
79,16608.6,0.19761,0.83881,0.95358,0.79538,0.0003565,0.0003565,0.0003565
80,16813.2,0.1968,0.83855,0.95398,0.80033,0.00034825,0.00034825,0.00034825
81,17014.9,0.195,0.83775,0.95378,0.80189,0.00034,0.00034,0.00034
82,17218,0.18784,0.83815,0.95325,0.80409,0.00033175,0.00033175,0.00033175
83,17422.6,0.18854,0.83781,0.95305,0.80717,0.0003235,0.0003235,0.0003235
84,17626.2,0.17927,0.83728,0.95318,0.81135,0.00031525,0.00031525,0.00031525
85,17830.2,0.17948,0.83708,0.95325,0.81916,0.000307,0.000307,0.000307
86,18034,0.17737,0.83748,0.95312,0.8166,0.00029875,0.00029875,0.00029875
87,18237.2,0.17327,0.83728,0.95345,0.81766,0.0002905,0.0002905,0.0002905
88,18440.1,0.16513,0.83761,0.95372,0.82058,0.00028225,0.00028225,0.00028225
89,18644.6,0.16813,0.83801,0.95352,0.82718,0.000274,0.000274,0.000274
90,18847.6,0.16113,0.83735,0.95318,0.82576,0.00026575,0.00026575,0.00026575
91,19050.3,0.15822,0.83815,0.95345,0.82716,0.0002575,0.0002575,0.0002575
92,19253.5,0.1542,0.83801,0.95285,0.83055,0.00024925,0.00024925,0.00024925
93,19458.6,0.15175,0.83815,0.95312,0.83219,0.000241,0.000241,0.000241
94,19661.3,0.1468,0.83775,0.95285,0.83658,0.00023275,0.00023275,0.00023275
95,19863.3,0.14413,0.83781,0.95245,0.84239,0.0002245,0.0002245,0.0002245
96,20067.8,0.14851,0.83775,0.95272,0.84482,0.00021625,0.00021625,0.00021625
97,20270.3,0.13916,0.83768,0.95278,0.84314,0.000208,0.000208,0.000208
